Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
777515.0,0.0161,0.0579,0.9807,134494.0,127448.0,131421.0
777516.0,0.0161,0.0579,0.9807,134482.0,127448.0,131421.0
777517.0,0.0161,0.0583,0.9832,134482.0,127448.0,131432.0
777518.0,0.0161,0.0583,0.9832,134482.0,127448.0,131432.0
777519.0,0.0161,0.0583,0.9832,134482.0,127448.0,131432.0
777520.0,0.0215,0.0559,0.9851,134482.0,127432.0,131432.0
777521.0,0.0215,0.0559,0.9851,134482.0,127432.0,131432.0
777522.0,0.0215,0.0559,0.9851,134469.0,127432.0,131432.0
777523.0,0.0127,0.0647,0.9861,134469.0,127432.0,131411.0
777524.0,0.0127,0.0647,0.9861,134469.0,127432.0,131411.0
777525.0,0.0127,0.0647,0.9861,134469.0,127432.0,131411.0
777526.0,0.019,0.0608,0.9802,134469.0,127426.0,131411.0
777527.0,0.019,0.0608,0.9802,134469.0,127426.0,131411.0
777528.0,0.019,0.0608,0.9802,134435.0,127426.0,131411.0
777529.0,0.0139,0.054,0.9893,134435.0,127426.0,131379.0
777530.0,0.0139,0.054,0.9893,134435.0,127426.0,131379.0
777531.0,0.0139,0.054,0.9893,134435.0,127426.0,131379.0
777532.0,0.0198,0.0544,0.98,134435.0,127395.0,131379.0
777533.0,0.0198,0.0544,0.98,134435.0,127395.0,131379.0
777534.0,0.0198,0.0544,0.98,134431.0,127395.0,131379.0
777535.0,0.0156,0.0535,0.9812,134431.0,127395.0,131366.0
777536.0,0.0156,0.0535,0.9812,134431.0,127395.0,131366.0
777537.0,0.0156,0.0535,0.9812,134431.0,127395.0,131366.0
777538.0,0.0144,0.0581,0.9854,134431.0,127391.0,131366.0
777539.0,0.0144,0.0581,0.9854,134431.0,127391.0,131366.0
777540.0,0.0144,0.0581,0.9854,134447.0,127391.0,131366.0
777541.0,0.0151,0.0588,0.9832,134447.0,127391.0,131373.0
777542.0,0.0151,0.0588,0.9832,134447.0,127391.0,131373.0
777543.0,0.0151,0.0588,0.9832,134447.0,127391.0,131373.0
777544.0,0.0134,0.0588,0.9832,134447.0,127408.0,131373.0
777545.0,0.0134,0.0588,0.9832,134447.0,127408.0,131373.0
777546.0,0.0134,0.0588,0.9832,134456.0,127408.0,131373.0
777547.0,0.0171,0.051,0.9785,134456.0,127408.0,131384.0
777548.0,0.0171,0.051,0.9785,134456.0,127408.0,131384.0
777549.0,0.0171,0.051,0.9785,134456.0,127408.0,131384.0
777550.0,0.0151,0.0593,0.9792,134456.0,127407.0,131384.0
777551.0,0.0151,0.0593,0.9792,134456.0,127407.0,131384.0
777552.0,0.0151,0.0593,0.9792,134436.0,127407.0,131384.0
777553.0,0.0132,0.0601,0.9856,134436.0,127407.0,131377.0
777554.0,0.0132,0.0601,0.9856,134436.0,127407.0,131377.0
777555.0,0.0132,0.0601,0.9856,134436.0,127407.0,131377.0
777556.0,0.0112,0.0557,0.9805,134436.0,127396.0,131377.0
777557.0,0.0112,0.0557,0.9805,134436.0,127396.0,131377.0
777558.0,0.0112,0.0557,0.9805,134434.0,127396.0,131377.0
777559.0,0.0144,0.0579,0.9812,134434.0,127396.0,131375.0
777560.0,0.0144,0.0579,0.9812,134434.0,127396.0,131375.0
777561.0,0.0144,0.0579,0.9812,134434.0,127396.0,131375.0
777562.0,0.0142,0.0537,0.978,134434.0,127388.0,131375.0
777563.0,0.0142,0.0537,0.978,134434.0,127388.0,131375.0
777564.0,0.0142,0.0537,0.978,134411.0,127388.0,131375.0
777565.0,0.0132,0.0571,0.981,134411.0,127388.0,131347.0
777566.0,0.0132,0.0571,0.981,134411.0,127388.0,131347.0
777567.0,0.0132,0.0571,0.981,134411.0,127388.0,131347.0
777568.0,0.0105,0.0549,0.9905,134411.0,127392.0,131347.0
777569.0,0.0105,0.0549,0.9905,134411.0,127392.0,131347.0
777570.0,0.0105,0.0549,0.9905,134442.0,127392.0,131347.0
777571.0,0.0105,0.0564,0.981,134442.0,127392.0,131372.0
777572.0,0.0105,0.0564,0.981,134442.0,127392.0,131372.0
777573.0,0.0105,0.0564,0.981,134442.0,127392.0,131372.0
777574.0,0.0132,0.0535,0.9863,134442.0,127396.0,131372.0
777575.0,0.0132,0.0535,0.9863,134442.0,127396.0,131372.0
777576.0,0.0132,0.0535,0.9863,134382.0,127396.0,131372.0
777577.0,0.0127,0.0544,0.9827,134382.0,127396.0,131329.0
777578.0,0.0127,0.0544,0.9827,134382.0,127396.0,131329.0
777579.0,0.0127,0.0544,0.9827,134382.0,127396.0,131329.0
777580.0,0.0144,0.061,0.9802,134382.0,127356.0,131329.0
777581.0,0.0144,0.061,0.9802,134382.0,127356.0,131329.0
777582.0,0.0144,0.061,0.9802,134366.0,127356.0,131329.0
