Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
3916231.0,0.0168,0.0576,0.9836,123964.0,118359.0,122234.0
3916232.0,0.0168,0.0576,0.9836,123964.0,118359.0,122234.0
3916233.0,0.0168,0.0576,0.9836,123964.0,118359.0,122234.0
3916234.0,0.0178,0.0544,0.98,123964.0,118359.0,122234.0
3916235.0,0.0178,0.0544,0.98,123964.0,118359.0,122234.0
3916236.0,0.0178,0.0544,0.98,124143.0,118359.0,122234.0
3916237.0,0.0017,0.0615,0.9824,124143.0,118415.0,122316.0
3916238.0,0.0017,0.0615,0.9824,124143.0,118415.0,122316.0
3916239.0,0.0017,0.0615,0.9824,124143.0,118415.0,122316.0
3916240.0,0.0203,0.0698,0.9753,124143.0,118415.0,122316.0
3916241.0,0.0203,0.0698,0.9753,124143.0,118415.0,122316.0
3916242.0,0.0203,0.0698,0.9753,123944.0,118415.0,122316.0
3916243.0,0.0164,0.0571,0.9812,123944.0,118349.0,122232.0
3916244.0,0.0164,0.0571,0.9812,123944.0,118349.0,122232.0
3916245.0,0.0164,0.0571,0.9812,123944.0,118349.0,122232.0
3916246.0,0.0259,0.0435,0.9824,123944.0,118349.0,122232.0
3916247.0,0.0259,0.0435,0.9824,123944.0,118349.0,122232.0
3916248.0,0.0259,0.0435,0.9824,124210.0,118349.0,122232.0
3916249.0,0.002,0.053,0.9875,124210.0,118463.0,122364.0
3916250.0,0.002,0.053,0.9875,124210.0,118463.0,122364.0
3916251.0,0.002,0.053,0.9875,124210.0,118463.0,122364.0
3916252.0,0.0129,0.0662,0.981,124210.0,118463.0,122364.0
3916253.0,0.0129,0.0662,0.981,124210.0,118463.0,122364.0
3916254.0,0.0129,0.0662,0.981,123929.0,118463.0,122364.0
3916255.0,0.0232,0.064,0.9819,123929.0,118296.0,122186.0
3916256.0,0.0232,0.064,0.9819,123929.0,118296.0,122186.0
3916257.0,0.0232,0.064,0.9819,123929.0,118296.0,122186.0
3916258.0,0.0173,0.0569,0.9849,123929.0,118296.0,122186.0
3916259.0,0.0173,0.0569,0.9849,123929.0,118296.0,122186.0
3916260.0,0.0173,0.0569,0.9849,124130.0,118296.0,122186.0
3916261.0,0.0049,0.0479,0.9766,124130.0,118456.0,122338.0
3916262.0,0.0049,0.0479,0.9766,124130.0,118456.0,122338.0
3916263.0,0.0049,0.0479,0.9766,124130.0,118456.0,122338.0
3916264.0,0.0183,0.0637,0.9851,124130.0,118456.0,122338.0
3916265.0,0.0183,0.0637,0.9851,124130.0,118456.0,122338.0
3916266.0,0.0183,0.0637,0.9851,124014.0,118456.0,122338.0
