Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
3582731.0,0.0161,0.061,0.9895,124562.0,118761.0,122953.0
3582732.0,0.0161,0.061,0.9895,124562.0,118761.0,122953.0
3582733.0,0.0095,0.0505,0.9856,124562.0,118794.0,122953.0
3582734.0,0.0095,0.0505,0.9856,124562.0,118794.0,122953.0
3582735.0,0.0095,0.0505,0.9856,124485.0,118794.0,122953.0
3582736.0,0.0127,0.0469,0.9846,124485.0,118794.0,122893.0
3582737.0,0.0127,0.0469,0.9846,124485.0,118794.0,122893.0
3582738.0,0.0127,0.0469,0.9846,124485.0,118794.0,122893.0
3582739.0,0.0229,0.061,0.9824,124485.0,118740.0,122893.0
3582740.0,0.0229,0.061,0.9824,124485.0,118740.0,122893.0
3582741.0,0.0229,0.061,0.9824,124496.0,118740.0,122893.0
3582742.0,0.0132,0.073,0.9775,124496.0,118740.0,122924.0
3582743.0,0.0132,0.073,0.9775,124496.0,118740.0,122924.0
3582744.0,0.0132,0.073,0.9775,124496.0,118740.0,122924.0
3582745.0,0.0071,0.0647,0.9849,124496.0,118769.0,122924.0
3582746.0,0.0071,0.0647,0.9849,124496.0,118769.0,122924.0
3582747.0,0.0071,0.0647,0.9849,124531.0,118769.0,122924.0
3582748.0,0.0083,0.0549,0.988,124531.0,118769.0,122931.0
3582749.0,0.0083,0.0549,0.988,124531.0,118769.0,122931.0
3582750.0,0.0083,0.0549,0.988,124531.0,118769.0,122931.0
3582751.0,0.0256,0.054,0.9785,124531.0,118781.0,122931.0
3582752.0,0.0256,0.054,0.9785,124531.0,118781.0,122931.0
3582753.0,0.0256,0.054,0.9785,124477.0,118781.0,122931.0
3582754.0,0.0225,0.0598,0.9824,124477.0,118781.0,122902.0
3582755.0,0.0225,0.0598,0.9824,124477.0,118781.0,122902.0
3582756.0,0.0225,0.0598,0.9824,124477.0,118781.0,122902.0
3582757.0,0.0164,0.0615,0.9851,124477.0,118759.0,122902.0
3582758.0,0.0164,0.0615,0.9851,124477.0,118759.0,122902.0
3582759.0,0.0164,0.0615,0.9851,124526.0,118759.0,122902.0
3582760.0,0.009,0.0601,0.9819,124526.0,118759.0,122918.0
3582761.0,0.009,0.0601,0.9819,124526.0,118759.0,122918.0
3582762.0,0.009,0.0601,0.9819,124526.0,118759.0,122918.0
3582763.0,0.0183,0.053,0.9771,124526.0,118769.0,122918.0
3582764.0,0.0183,0.053,0.9771,124526.0,118769.0,122918.0
3582765.0,0.0183,0.053,0.9771,124458.0,118769.0,122918.0
3582766.0,0.019,0.0637,0.9802,124458.0,118769.0,122886.0
3582767.0,0.019,0.0637,0.9802,124458.0,118769.0,122886.0
3582768.0,0.019,0.0637,0.9802,124458.0,118769.0,122886.0
3582769.0,0.019,0.0569,0.9861,124458.0,118734.0,122886.0
3582770.0,0.019,0.0569,0.9861,124458.0,118734.0,122886.0
3582771.0,0.019,0.0569,0.9861,124533.0,118734.0,122886.0
3582772.0,0.011,0.0605,0.9814,124533.0,118734.0,122929.0
3582773.0,0.011,0.0605,0.9814,124533.0,118734.0,122929.0
3582774.0,0.011,0.0605,0.9814,124533.0,118734.0,122929.0
3582775.0,0.0134,0.0613,0.9778,124533.0,118772.0,122929.0
3582776.0,0.0134,0.0613,0.9778,124533.0,118772.0,122929.0
3582777.0,0.0134,0.0613,0.9778,124422.0,118772.0,122929.0
3582778.0,0.0225,0.0618,0.981,124422.0,118772.0,122848.0
3582779.0,0.0225,0.0618,0.981,124422.0,118772.0,122848.0
3582780.0,0.0225,0.0618,0.981,124422.0,118772.0,122848.0
3582781.0,0.0137,0.0547,0.98,124422.0,118719.0,122848.0
3582782.0,0.0137,0.0547,0.98,124422.0,118719.0,122848.0
3582783.0,0.0137,0.0547,0.98,124600.0,118719.0,122848.0
3582784.0,0.0132,0.0581,0.99,124600.0,118719.0,123007.0
3582785.0,0.0132,0.0581,0.99,124600.0,118719.0,123007.0
3582786.0,0.0132,0.0581,0.99,124600.0,118719.0,123007.0
3582787.0,0.0166,0.0613,0.9893,124600.0,118858.0,123007.0
3582788.0,0.0166,0.0613,0.9893,124600.0,118858.0,123007.0
3582789.0,0.0166,0.0613,0.9893,124460.0,118858.0,123007.0
3582790.0,0.0181,0.0559,0.9802,124460.0,118858.0,123007.0
3582791.0,0.0181,0.0559,0.9802,124460.0,118858.0,123007.0
3582792.0,0.0181,0.0559,0.9802,124460.0,118858.0,123007.0
3582793.0,0.0146,0.0608,0.978,124460.0,118707.0,122842.0
3582794.0,0.0146,0.0608,0.978,124460.0,118707.0,122842.0
3582795.0,0.0146,0.0608,0.978,124475.0,118707.0,122842.0
3582796.0,0.0171,0.0598,0.9856,124475.0,118707.0,122842.0
3582797.0,0.0171,0.0598,0.9856,124475.0,118707.0,122842.0
3582798.0,0.0171,0.0598,0.9856,124475.0,118707.0,122842.0
3582799.0,0.0098,0.0603,0.9832,124475.0,118749.0,122902.0
3582800.0,0.0098,0.0603,0.9832,124475.0,118749.0,122902.0
3582801.0,0.0098,0.0603,0.9832,124442.0,118749.0,122902.0
3582802.0,0.0215,0.0566,0.9724,124442.0,118749.0,122902.0
3582803.0,0.0215,0.0566,0.9724,124442.0,118749.0,122902.0
3582804.0,0.0215,0.0566,0.9724,124442.0,118749.0,122902.0
3582805.0,0.0181,0.0569,0.9788,124442.0,118704.0,122833.0
3582806.0,0.0181,0.0569,0.9788,124442.0,118704.0,122833.0
3582807.0,0.0181,0.0569,0.9788,124496.0,118704.0,122833.0
3582808.0,0.0127,0.0645,0.9878,124496.0,118704.0,122833.0
3582809.0,0.0127,0.0645,0.9878,124496.0,118704.0,122833.0
3582810.0,0.0127,0.0645,0.9878,124496.0,118704.0,122833.0
3582811.0,0.0154,0.0593,0.9839,124496.0,118780.0,122935.0
3582812.0,0.0154,0.0593,0.9839,124496.0,118780.0,122935.0
3582813.0,0.0154,0.0593,0.9839,124544.0,118780.0,122935.0
3582814.0,0.0237,0.0547,0.9766,124544.0,118780.0,122935.0
3582815.0,0.0237,0.0547,0.9766,124544.0,118780.0,122935.0
3582816.0,0.0237,0.0547,0.9766,124544.0,118780.0,122935.0
3582817.0,0.0176,0.0562,0.9822,124544.0,118774.0,122923.0
3582818.0,0.0176,0.0562,0.9822,124544.0,118774.0,122923.0
3582819.0,0.0176,0.0562,0.9822,124449.0,118774.0,122923.0
3582820.0,0.0117,0.0579,0.9819,124449.0,118774.0,122923.0
3582821.0,0.0117,0.0579,0.9819,124449.0,118774.0,122923.0
3582822.0,0.0117,0.0579,0.9819,124449.0,118774.0,122923.0
3582823.0,0.0171,0.0649,0.9771,124449.0,118713.0,122852.0
3582824.0,0.0171,0.0649,0.9771,124449.0,118713.0,122852.0
3582825.0,0.0171,0.0649,0.9771,124450.0,118713.0,122852.0
3582826.0,0.022,0.0613,0.9783,124450.0,118713.0,122852.0
3582827.0,0.022,0.0613,0.9783,124450.0,118713.0,122852.0
3582828.0,0.022,0.0613,0.9783,124450.0,118713.0,122852.0
3582829.0,0.019,0.0598,0.9846,124450.0,118723.0,122869.0
3582830.0,0.019,0.0598,0.9846,124450.0,118723.0,122869.0
3582831.0,0.019,0.0598,0.9846,124486.0,118723.0,122869.0
3582832.0,0.0127,0.0525,0.9873,124486.0,118723.0,122869.0
3582833.0,0.0127,0.0525,0.9873,124486.0,118723.0,122869.0
3582834.0,0.0127,0.0525,0.9873,124486.0,118723.0,122869.0
3582835.0,0.0134,0.0583,0.9846,124486.0,118756.0,122894.0
3582836.0,0.0134,0.0583,0.9846,124486.0,118756.0,122894.0
3582837.0,0.0134,0.0583,0.9846,124494.0,118756.0,122894.0
3582838.0,0.011,0.0532,0.9878,124494.0,118756.0,122894.0
3582839.0,0.011,0.0532,0.9878,124494.0,118756.0,122894.0
3582840.0,0.011,0.0532,0.9878,124494.0,118756.0,122894.0
3582841.0,0.021,0.0603,0.9846,124494.0,118756.0,122888.0
3582842.0,0.021,0.0603,0.9846,124494.0,118756.0,122888.0
3582843.0,0.021,0.0603,0.9846,124455.0,118756.0,122888.0
3582844.0,0.0164,0.0557,0.9858,124455.0,118756.0,122888.0
3582845.0,0.0164,0.0557,0.9858,124455.0,118756.0,122888.0
3582846.0,0.0164,0.0557,0.9858,124455.0,118756.0,122888.0
3582847.0,0.0095,0.0593,0.9792,124455.0,118736.0,122872.0
3582848.0,0.0095,0.0593,0.9792,124455.0,118736.0,122872.0
3582849.0,0.0095,0.0593,0.9792,124471.0,118736.0,122872.0
3582850.0,0.012,0.0601,0.98,124471.0,118736.0,122872.0
3582851.0,0.012,0.0601,0.98,124471.0,118736.0,122872.0
3582852.0,0.012,0.0601,0.98,124471.0,118736.0,122872.0
3582853.0,0.0259,0.0583,0.9768,124471.0,118734.0,122867.0
3582854.0,0.0259,0.0583,0.9768,124471.0,118734.0,122867.0
3582855.0,0.0259,0.0583,0.9768,124451.0,118734.0,122867.0
3582856.0,0.0154,0.0598,0.9817,124451.0,118734.0,122867.0
3582857.0,0.0154,0.0598,0.9817,124451.0,118734.0,122867.0
3582858.0,0.0154,0.0598,0.9817,124451.0,118734.0,122867.0
3582859.0,0.0164,0.0581,0.9783,124451.0,118723.0,122863.0
3582860.0,0.0164,0.0581,0.9783,124451.0,118723.0,122863.0
3582861.0,0.0164,0.0581,0.9783,124446.0,118723.0,122863.0
3582862.0,0.0151,0.0588,0.9805,124446.0,118723.0,122863.0
3582863.0,0.0151,0.0588,0.9805,124446.0,118723.0,122863.0
3582864.0,0.0151,0.0588,0.9805,124446.0,118723.0,122863.0
3582865.0,0.0208,0.0537,0.9797,124446.0,118713.0,122851.0
3582866.0,0.0208,0.0537,0.9797,124446.0,118713.0,122851.0
3582867.0,0.0208,0.0537,0.9797,124492.0,118713.0,122851.0
3582868.0,0.0156,0.0552,0.9868,124492.0,118713.0,122851.0
3582869.0,0.0156,0.0552,0.9868,124492.0,118713.0,122851.0
3582870.0,0.0156,0.0552,0.9868,124492.0,118713.0,122851.0
3582871.0,0.0166,0.0601,0.981,124492.0,118764.0,122904.0
3582872.0,0.0166,0.0601,0.981,124492.0,118764.0,122904.0
3582873.0,0.0166,0.0601,0.981,124463.0,118764.0,122904.0
3582874.0,0.0146,0.0649,0.9854,124463.0,118764.0,122904.0
3582875.0,0.0146,0.0649,0.9854,124463.0,118764.0,122904.0
3582876.0,0.0146,0.0649,0.9854,124463.0,118764.0,122904.0
3582877.0,0.0186,0.0601,0.979,124463.0,118732.0,122856.0
3582878.0,0.0186,0.0601,0.979,124463.0,118732.0,122856.0
3582879.0,0.0186,0.0601,0.979,124435.0,118732.0,122856.0
3582880.0,0.0188,0.053,0.9836,124435.0,118732.0,122856.0
3582881.0,0.0188,0.053,0.9836,124435.0,118732.0,122856.0
3582882.0,0.0188,0.053,0.9836,124435.0,118732.0,122856.0
3582883.0,0.0256,0.0547,0.9893,124435.0,118715.0,122835.0
3582884.0,0.0256,0.0547,0.9893,124435.0,118715.0,122835.0
3582885.0,0.0256,0.0547,0.9893,124455.0,118715.0,122835.0
3582886.0,0.022,0.0591,0.9863,124455.0,118715.0,122835.0
3582887.0,0.022,0.0591,0.9863,124455.0,118715.0,122835.0
3582888.0,0.022,0.0591,0.9863,124455.0,118715.0,122835.0
3582889.0,0.0112,0.0625,0.9802,124455.0,118721.0,122855.0
3582890.0,0.0112,0.0625,0.9802,124455.0,118721.0,122855.0
3582891.0,0.0112,0.0625,0.9802,124454.0,118721.0,122855.0
3582892.0,0.0154,0.0601,0.981,124454.0,118721.0,122855.0
3582893.0,0.0154,0.0601,0.981,124454.0,118721.0,122855.0
3582894.0,0.0154,0.0601,0.981,124454.0,118721.0,122855.0
3582895.0,0.0125,0.0574,0.9802,124454.0,118724.0,122859.0
