Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
400405.0,0.0134,0.0569,0.9819,127558.0,121832.0,125680.0
400406.0,0.0134,0.0569,0.9819,127558.0,121832.0,125680.0
400407.0,0.0134,0.0569,0.9819,127558.0,121832.0,125680.0
400408.0,0.0173,0.062,0.9844,127558.0,121832.0,125780.0
400409.0,0.0173,0.062,0.9844,127558.0,121832.0,125780.0
400410.0,0.0173,0.062,0.9844,127651.0,121832.0,125780.0
400411.0,0.0098,0.0623,0.9878,127651.0,121926.0,125780.0
400412.0,0.0098,0.0623,0.9878,127651.0,121926.0,125780.0
400413.0,0.0098,0.0623,0.9878,127651.0,121926.0,125780.0
400414.0,0.0154,0.0566,0.9756,127651.0,121926.0,125747.0
400415.0,0.0154,0.0566,0.9756,127651.0,121926.0,125747.0
400416.0,0.0154,0.0566,0.9756,127527.0,121926.0,125747.0
400417.0,0.0181,0.054,0.9885,127527.0,121819.0,125747.0
400418.0,0.0181,0.054,0.9885,127527.0,121819.0,125747.0
400419.0,0.0181,0.054,0.9885,127527.0,121819.0,125747.0
400420.0,0.0178,0.0615,0.9861,127527.0,121819.0,125705.0
400421.0,0.0178,0.0615,0.9861,127527.0,121819.0,125705.0
400422.0,0.0178,0.0615,0.9861,127598.0,121819.0,125705.0
400423.0,0.0161,0.0562,0.9797,127598.0,121878.0,125705.0
400424.0,0.0161,0.0562,0.9797,127598.0,121878.0,125705.0
400425.0,0.0161,0.0562,0.9797,127598.0,121878.0,125705.0
400426.0,0.0137,0.0615,0.9878,127598.0,121878.0,125759.0
400427.0,0.0137,0.0615,0.9878,127598.0,121878.0,125759.0
400428.0,0.0137,0.0615,0.9878,127590.0,121878.0,125759.0
400429.0,0.012,0.064,0.9758,127590.0,121867.0,125759.0
400430.0,0.012,0.064,0.9758,127590.0,121867.0,125759.0
400431.0,0.012,0.064,0.9758,127590.0,121867.0,125759.0
400432.0,0.0117,0.0605,0.9841,127590.0,121867.0,125698.0
400433.0,0.0117,0.0605,0.9841,127590.0,121867.0,125698.0
400434.0,0.0117,0.0605,0.9841,127522.0,121867.0,125698.0
400435.0,0.0151,0.0547,0.9792,127522.0,121814.0,125698.0
400436.0,0.0151,0.0547,0.9792,127522.0,121814.0,125698.0
400437.0,0.0151,0.0547,0.9792,127522.0,121814.0,125698.0
400438.0,0.0181,0.0552,0.9797,127522.0,121814.0,125715.0
