Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
2.8148724E7,0.0178,0.0515,0.9897,122586.0,116961.0,121232.0
2.8148725E7,0.0217,0.0476,0.9922,122586.0,117627.0,121232.0
2.8148726E7,0.0217,0.0476,0.9922,122586.0,117627.0,121232.0
2.8148727E7,0.0217,0.0476,0.9922,122586.0,117627.0,121232.0
2.8148728E7,0.0061,0.0549,0.9824,122586.0,117627.0,120630.0
2.8148729E7,0.0061,0.0549,0.9824,122586.0,117627.0,120630.0
2.814873E7,0.0061,0.0549,0.9824,121893.0,117627.0,120630.0
2.8148731E7,0.0029,0.0645,0.989,121893.0,117036.0,120630.0
2.8148732E7,0.0029,0.0645,0.989,121893.0,117036.0,120630.0
2.8148733E7,0.0029,0.0645,0.989,121893.0,117036.0,120630.0
2.8148734E7,0.0176,0.0503,0.9902,121893.0,117036.0,121262.0
2.8148735E7,0.0176,0.0503,0.9902,121893.0,117036.0,121262.0
2.8148736E7,0.0176,0.0503,0.9902,122348.0,117036.0,121262.0
2.8148737E7,0.0229,0.0586,0.9839,122348.0,117606.0,121262.0
2.8148738E7,0.0229,0.0586,0.9839,122348.0,117606.0,121262.0
2.8148739E7,0.0229,0.0586,0.9839,122348.0,117606.0,121262.0
2.814874E7,0.01,0.0615,0.9768,122348.0,117606.0,120516.0
2.8148741E7,0.01,0.0615,0.9768,122348.0,117606.0,120516.0
2.8148742E7,0.01,0.0615,0.9768,122035.0,117606.0,120516.0
2.8148743E7,0.0078,0.063,0.9807,122035.0,116962.0,120516.0
2.8148744E7,0.0078,0.063,0.9807,122035.0,116962.0,120516.0
2.8148745E7,0.0078,0.063,0.9807,122035.0,116962.0,120516.0
2.8148746E7,0.0205,0.0459,0.9883,122035.0,116962.0,121277.0
2.8148747E7,0.0205,0.0459,0.9883,122035.0,116962.0,121277.0
2.8148748E7,0.0205,0.0459,0.9883,122178.0,116962.0,121277.0
2.8148749E7,0.0222,0.0522,0.9827,122178.0,117620.0,121277.0
2.814875E7,0.0222,0.0522,0.9827,122178.0,117620.0,121277.0
2.8148751E7,0.0222,0.0522,0.9827,122178.0,117620.0,121277.0
2.8148752E7,0.0132,0.0562,0.9785,122178.0,117620.0,120569.0
2.8148753E7,0.0132,0.0562,0.9785,122178.0,117620.0,120569.0
2.8148754E7,0.0132,0.0562,0.9785,122246.0,117620.0,120569.0
2.8148755E7,0.011,0.0608,0.9834,122246.0,117011.0,120569.0
2.8148756E7,0.011,0.0608,0.9834,122246.0,117011.0,120569.0
2.8148757E7,0.011,0.0608,0.9834,122246.0,117011.0,120569.0
2.8148758E7,0.0159,0.0439,0.9946,122246.0,117011.0,121201.0
