Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
2.9603854E7,0.0198,0.053,0.9763,121602.0,116537.0,119229.0
2.9603855E7,0.0198,0.053,0.9763,121602.0,116537.0,119229.0
2.9603856E7,0.0198,0.053,0.9763,121045.0,116537.0,119229.0
2.9603857E7,0.0134,0.0647,0.9861,121045.0,116227.0,119229.0
2.9603858E7,0.0134,0.0647,0.9861,121045.0,116227.0,119229.0
2.9603859E7,0.0134,0.0647,0.9861,121045.0,116227.0,119229.0
2.960386E7,0.0112,0.0547,0.9897,121045.0,116227.0,119697.0
2.9603861E7,0.0112,0.0547,0.9897,121045.0,116227.0,119697.0
2.9603862E7,0.0112,0.0547,0.9897,121534.0,116227.0,119697.0
2.9603863E7,0.0181,0.0537,0.9858,121534.0,116493.0,119697.0
2.9603864E7,0.0181,0.0537,0.9858,121534.0,116493.0,119697.0
2.9603865E7,0.0181,0.0537,0.9858,121534.0,116493.0,119697.0
2.9603866E7,0.0215,0.0527,0.9829,121534.0,116493.0,119275.0
2.9603867E7,0.0215,0.0527,0.9829,121534.0,116493.0,119275.0
2.9603868E7,0.0215,0.0527,0.9829,121103.0,116493.0,119275.0
2.9603869E7,0.012,0.0601,0.9797,121103.0,116270.0,119275.0
2.960387E7,0.012,0.0601,0.9797,121103.0,116270.0,119275.0
2.9603871E7,0.012,0.0601,0.9797,121103.0,116270.0,119275.0
2.9603872E7,0.0125,0.0566,0.9932,121103.0,116270.0,119733.0
2.9603873E7,0.0125,0.0566,0.9932,121103.0,116270.0,119733.0
2.9603874E7,0.0125,0.0566,0.9932,121571.0,116270.0,119733.0
2.9603875E7,0.0176,0.0581,0.9846,121571.0,116521.0,119733.0
2.9603876E7,0.0176,0.0581,0.9846,121571.0,116521.0,119733.0
2.9603877E7,0.0176,0.0581,0.9846,121571.0,116521.0,119733.0
2.9603878E7,0.0242,0.0466,0.9839,121571.0,116521.0,119216.0
2.9603879E7,0.0242,0.0466,0.9839,121571.0,116521.0,119216.0
2.960388E7,0.0242,0.0466,0.9839,121034.0,116521.0,119216.0
2.9603881E7,0.0171,0.0574,0.978,121034.0,116199.0,119216.0
2.9603882E7,0.0171,0.0574,0.978,121034.0,116199.0,119216.0
2.9603883E7,0.0171,0.0574,0.978,121034.0,116199.0,119216.0
2.9603884E7,0.0044,0.0562,0.9868,121034.0,116199.0,119702.0
2.9603885E7,0.0044,0.0562,0.9868,121034.0,116199.0,119702.0
2.9603886E7,0.0044,0.0562,0.9868,121548.0,116199.0,119702.0
2.9603887E7,0.0154,0.052,0.9888,121548.0,116542.0,119702.0
2.9603888E7,0.0154,0.052,0.9888,121548.0,116542.0,119702.0
2.9603889E7,0.0154,0.052,0.9888,121548.0,116542.0,119702.0
2.960389E7,0.0212,0.0525,0.9807,121548.0,116542.0,119283.0
2.9603891E7,0.0212,0.0525,0.9807,121548.0,116542.0,119283.0
2.9603892E7,0.0212,0.0525,0.9807,121110.0,116542.0,119283.0
2.9603893E7,0.022,0.0537,0.9836,121110.0,116243.0,119283.0
2.9603894E7,0.022,0.0537,0.9836,121110.0,116243.0,119283.0
2.9603895E7,0.022,0.0537,0.9836,121110.0,116243.0,119283.0
2.9603896E7,0.0139,0.0632,0.9868,121110.0,116243.0,119666.0
2.9603897E7,0.0139,0.0632,0.9868,121110.0,116243.0,119666.0
2.9603898E7,0.0139,0.0632,0.9868,121516.0,116243.0,119666.0
2.9603899E7,0.0125,0.0576,0.9897,121516.0,116521.0,119666.0
2.96039E7,0.0125,0.0576,0.9897,121516.0,116521.0,119666.0
2.9603901E7,0.0125,0.0576,0.9897,121516.0,116521.0,119666.0
2.9603902E7,0.021,0.0566,0.9819,121516.0,116521.0,119308.0
2.9603903E7,0.021,0.0566,0.9819,121516.0,116521.0,119308.0
2.9603904E7,0.021,0.0566,0.9819,121145.0,116521.0,119308.0
2.9603905E7,0.0225,0.0452,0.9851,121145.0,116254.0,119308.0
2.9603906E7,0.0225,0.0452,0.9851,121145.0,116254.0,119308.0
2.9603907E7,0.0225,0.0452,0.9851,121145.0,116254.0,119308.0
2.9603908E7,0.0127,0.0593,0.9839,121145.0,116254.0,119625.0
2.9603909E7,0.0127,0.0593,0.9839,121145.0,116254.0,119625.0
2.960391E7,0.0127,0.0593,0.9839,121470.0,116254.0,119625.0
2.9603911E7,0.0122,0.0579,0.9866,121470.0,116505.0,119625.0
2.9603912E7,0.0122,0.0579,0.9866,121470.0,116505.0,119625.0
2.9603913E7,0.0122,0.0579,0.9866,121470.0,116505.0,119625.0
2.9603914E7,0.019,0.0562,0.9773,121470.0,116505.0,119625.0
2.9603915E7,0.019,0.0562,0.9773,121470.0,116505.0,119625.0
2.9603916E7,0.019,0.0562,0.9773,121179.0,116505.0,119625.0
2.9603917E7,0.022,0.05,0.9788,121179.0,116268.0,119344.0
2.9603918E7,0.022,0.05,0.9788,121179.0,116268.0,119344.0
2.9603919E7,0.022,0.05,0.9788,121179.0,116268.0,119344.0
2.960392E7,0.0129,0.0588,0.9836,121179.0,116268.0,119344.0
2.9603921E7,0.0129,0.0588,0.9836,121179.0,116268.0,119344.0
2.9603922E7,0.0129,0.0588,0.9836,121406.0,116268.0,119344.0
2.9603923E7,0.0083,0.0569,0.99,121406.0,116471.0,119560.0
2.9603924E7,0.0083,0.0569,0.99,121406.0,116471.0,119560.0
2.9603925E7,0.0083,0.0569,0.99,121406.0,116471.0,119560.0
2.9603926E7,0.0166,0.0625,0.9778,121406.0,116471.0,119560.0
2.9603927E7,0.0166,0.0625,0.9778,121406.0,116471.0,119560.0
2.9603928E7,0.0166,0.0625,0.9778,121285.0,116471.0,119560.0
2.9603929E7,0.0269,0.0469,0.9836,121285.0,116334.0,119458.0
2.960393E7,0.0269,0.0469,0.9836,121285.0,116334.0,119458.0
2.9603931E7,0.0269,0.0469,0.9836,121285.0,116334.0,119458.0
2.9603932E7,0.0159,0.0579,0.9832,121285.0,116334.0,119458.0
2.9603933E7,0.0159,0.0579,0.9832,121285.0,116334.0,119458.0
2.9603934E7,0.0159,0.0579,0.9832,121252.0,116334.0,119458.0
2.9603935E7,0.0066,0.0552,0.9834,121252.0,116357.0,119408.0
2.9603936E7,0.0066,0.0552,0.9834,121252.0,116357.0,119408.0
2.9603937E7,0.0066,0.0552,0.9834,121252.0,116357.0,119408.0
2.9603938E7,0.0156,0.0549,0.9927,121252.0,116357.0,119408.0
2.9603939E7,0.0156,0.0549,0.9927,121252.0,116357.0,119408.0
2.960394E7,0.0156,0.0549,0.9927,121380.0,116357.0,119408.0
2.9603941E7,0.0278,0.0515,0.988,121380.0,116400.0,119541.0
2.9603942E7,0.0278,0.0515,0.988,121380.0,116400.0,119541.0
