Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
2.9846767E7,0.0251,0.0645,0.9722,123677.0,93997.0,104382.0
2.9846768E7,0.0251,0.0645,0.9722,123677.0,93997.0,104382.0
2.9846769E7,0.0251,0.0645,0.9722,123826.0,93997.0,104382.0
2.984677E7,0.0229,0.0239,0.9934,123826.0,93743.0,104255.0
2.9846771E7,0.0229,0.0239,0.9934,123826.0,93743.0,104255.0
2.9846772E7,0.0229,0.0239,0.9934,123826.0,93743.0,104255.0
2.9846773E7,0.0107,0.1025,0.9666,123826.0,93743.0,104255.0
2.9846774E7,0.0107,0.1025,0.9666,123826.0,93743.0,104255.0
2.9846775E7,0.0107,0.1025,0.9666,123415.0,93743.0,104255.0
2.9846776E7,0.0264,0.0183,1.0059,123415.0,93727.0,104047.0
2.9846777E7,0.0264,0.0183,1.0059,123415.0,93727.0,104047.0
2.9846778E7,0.0264,0.0183,1.0059,123415.0,93727.0,104047.0
2.9846779E7,0.0203,0.0662,0.9802,123415.0,93727.0,104047.0
2.984678E7,0.0203,0.0662,0.9802,123415.0,93727.0,104047.0
2.9846781E7,0.0203,0.0662,0.9802,123937.0,93727.0,104047.0
2.9846782E7,0.0332,0.0125,0.9995,123937.0,93842.0,104354.0
2.9846783E7,0.0332,0.0125,0.9995,123937.0,93842.0,104354.0
2.9846784E7,0.0332,0.0125,0.9995,123937.0,93842.0,104354.0
2.9846785E7,-0.002,0.1079,0.959,123937.0,93842.0,104354.0
2.9846786E7,-0.002,0.1079,0.959,123937.0,93842.0,104354.0
2.9846787E7,-0.002,0.1079,0.959,123449.0,93842.0,104354.0
2.9846788E7,0.0171,0.0359,0.9949,123449.0,93597.0,103984.0
2.9846789E7,0.0171,0.0359,0.9949,123449.0,93597.0,103984.0
2.984679E7,0.0171,0.0359,0.9949,123449.0,93597.0,103984.0
2.9846791E7,0.0156,0.0757,0.9697,123449.0,93597.0,103984.0
2.9846792E7,0.0156,0.0757,0.9697,123449.0,93597.0,103984.0
2.9846793E7,0.0156,0.0757,0.9697,123830.0,93597.0,103984.0
2.9846794E7,0.0205,0.0127,1.0029,123830.0,93764.0,104246.0
2.9846795E7,0.0205,0.0127,1.0029,123830.0,93764.0,104246.0
2.9846796E7,0.0205,0.0127,1.0029,123830.0,93764.0,104246.0
2.9846797E7,0.0044,0.0867,0.9639,123830.0,93764.0,104246.0
2.9846798E7,0.0044,0.0867,0.9639,123830.0,93764.0,104246.0
2.9846799E7,0.0044,0.0867,0.9639,123537.0,93764.0,104246.0
2.98468E7,0.0234,0.0437,0.9895,123537.0,93486.0,103926.0
2.9846801E7,0.0234,0.0437,0.9895,123537.0,93486.0,103926.0
2.9846802E7,0.0234,0.0437,0.9895,123537.0,93486.0,103926.0
2.9846803E7,0.0181,0.0898,0.9597,123537.0,93486.0,103926.0
2.9846804E7,0.0181,0.0898,0.9597,123537.0,93486.0,103926.0
2.9846805E7,0.0181,0.0898,0.9597,123552.0,93486.0,103926.0
2.9846806E7,0.021,0.0063,1.0103,123552.0,93641.0,104070.0
2.9846807E7,0.021,0.0063,1.0103,123552.0,93641.0,104070.0
2.9846808E7,0.021,0.0063,1.0103,123552.0,93641.0,104070.0
2.9846809E7,0.0188,0.0752,0.9761,123552.0,93641.0,104070.0
2.984681E7,0.0188,0.0752,0.9761,123552.0,93641.0,104070.0
2.9846811E7,0.0188,0.0752,0.9761,123703.0,93641.0,104070.0
2.9846812E7,0.0254,0.0342,0.9939,123703.0,93534.0,104022.0
2.9846813E7,0.0254,0.0342,0.9939,123703.0,93534.0,104022.0
2.9846814E7,0.0254,0.0342,0.9939,123703.0,93534.0,104022.0
2.9846815E7,0.0063,0.0989,0.9631,123703.0,93534.0,104022.0
2.9846816E7,0.0063,0.0989,0.9631,123703.0,93534.0,104022.0
2.9846817E7,0.0063,0.0989,0.9631,123553.0,93534.0,104022.0
2.9846818E7,0.0291,0.0042,1.0093,123553.0,93601.0,104048.0
2.9846819E7,0.0291,0.0042,1.0093,123553.0,93601.0,104048.0
2.984682E7,0.0291,0.0042,1.0093,123553.0,93601.0,104048.0
2.9846821E7,0.0327,0.0732,0.9656,123553.0,93601.0,104048.0
2.9846822E7,0.0327,0.0732,0.9656,123553.0,93601.0,104048.0
2.9846823E7,0.0327,0.0732,0.9656,123724.0,93601.0,104048.0
2.9846824E7,0.0208,0.0161,1.0063,123724.0,93481.0,103986.0
2.9846825E7,0.0208,0.0161,1.0063,123724.0,93481.0,103986.0
2.9846826E7,0.0208,0.0161,1.0063,123724.0,93481.0,103986.0
2.9846827E7,0.009,0.1116,0.9651,123724.0,93481.0,103986.0
2.9846828E7,0.009,0.1116,0.9651,123724.0,93481.0,103986.0
2.9846829E7,0.009,0.1116,0.9651,123369.0,93481.0,103986.0
2.984683E7,0.0256,0.0146,0.9985,123369.0,93367.0,103839.0
2.9846831E7,0.0256,0.0146,0.9985,123369.0,93367.0,103839.0
2.9846832E7,0.0256,0.0146,0.9985,123369.0,93367.0,103839.0
2.9846833E7,0.0247,0.0737,0.96,123369.0,93367.0,103839.0
2.9846834E7,0.0247,0.0737,0.96,123369.0,93367.0,103839.0
2.9846835E7,0.0247,0.0737,0.96,123728.0,93367.0,103839.0
2.9846836E7,0.0193,0.0046,1.0156,123728.0,93470.0,103994.0
2.9846837E7,0.0193,0.0046,1.0156,123728.0,93470.0,103994.0
2.9846838E7,0.0193,0.0046,1.0156,123728.0,93470.0,103994.0
2.9846839E7,0.0142,0.1089,0.9531,123728.0,93470.0,103994.0
2.984684E7,0.0142,0.1089,0.9531,123728.0,93470.0,103994.0
2.9846841E7,0.0142,0.1089,0.9531,123414.0,93470.0,103994.0
2.9846842E7,0.0266,0.0142,1.0042,123414.0,93265.0,103766.0
2.9846843E7,0.0266,0.0142,1.0042,123414.0,93265.0,103766.0
2.9846844E7,0.0266,0.0142,1.0042,123414.0,93265.0,103766.0
2.9846845E7,0.0293,0.0803,0.9617,123414.0,93265.0,103766.0
2.9846846E7,0.0293,0.0803,0.9617,123414.0,93265.0,103766.0
2.9846847E7,0.0293,0.0803,0.9617,123685.0,93265.0,103766.0
2.9846848E7,0.0132,-0.0056,1.0168,123685.0,93320.0,103861.0
2.9846849E7,0.0132,-0.0056,1.0168,123685.0,93320.0,103861.0
2.984685E7,0.0132,-0.0056,1.0168,123685.0,93320.0,103861.0
2.9846851E7,0.0129,0.1003,0.9575,123685.0,93320.0,103861.0
2.9846852E7,0.0129,0.1003,0.9575,123685.0,93320.0,103861.0
2.9846853E7,0.0129,0.1003,0.9575,123434.0,93320.0,103861.0
2.9846854E7,0.0312,0.0269,0.9983,123434.0,93131.0,103670.0
2.9846855E7,0.0312,0.0269,0.9983,123434.0,93131.0,103670.0
2.9846856E7,0.0312,0.0269,0.9983,123434.0,93131.0,103670.0
2.9846857E7,0.0154,0.0969,0.9563,123434.0,93131.0,103670.0
2.9846858E7,0.0154,0.0969,0.9563,123434.0,93131.0,103670.0
2.9846859E7,0.0154,0.0969,0.9563,123554.0,93131.0,103670.0
2.984686E7,0.0227,-0.0115,1.0239,123554.0,93290.0,103851.0
2.9846861E7,0.0227,-0.0115,1.0239,123554.0,93290.0,103851.0
2.9846862E7,0.0227,-0.0115,1.0239,123554.0,93290.0,103851.0
2.9846863E7,0.0227,0.0833,0.9624,123554.0,93290.0,103851.0
2.9846864E7,0.0227,0.0833,0.9624,123554.0,93290.0,103851.0
2.9846865E7,0.0227,0.0833,0.9624,123539.0,93290.0,103851.0
2.9846866E7,0.0129,0.0342,0.9922,123539.0,93051.0,103620.0
2.9846867E7,0.0129,0.0342,0.9922,123539.0,93051.0,103620.0
2.9846868E7,0.0129,0.0342,0.9922,123539.0,93051.0,103620.0
2.9846869E7,0.0225,0.0979,0.9678,123539.0,93051.0,103620.0
2.984687E7,0.0225,0.0979,0.9678,123539.0,93051.0,103620.0
2.9846871E7,0.0225,0.0979,0.9678,123461.0,93051.0,103620.0
2.9846872E7,0.0303,-7.0E-4,1.011,123461.0,93118.0,103700.0
2.9846873E7,0.0303,-7.0E-4,1.011,123461.0,93118.0,103700.0
2.9846874E7,0.0303,-7.0E-4,1.011,123461.0,93118.0,103700.0
2.9846875E7,0.0352,0.0491,0.9814,123461.0,93118.0,103700.0
2.9846876E7,0.0352,0.0491,0.9814,123461.0,93118.0,103700.0
2.9846877E7,0.0352,0.0491,0.9814,123628.0,93118.0,103700.0
2.9846878E7,0.0134,-0.0083,1.0259,123628.0,93338.0,103969.0
2.9846879E7,0.0134,-0.0083,1.0259,123628.0,93338.0,103969.0
2.984688E7,0.0134,-0.0083,1.0259,123628.0,93338.0,103969.0
2.9846881E7,0.0071,0.0989,0.9644,123628.0,93338.0,103969.0
2.9846882E7,0.0071,0.0989,0.9644,123628.0,93338.0,103969.0
2.9846883E7,0.0071,0.0989,0.9644,124154.0,93338.0,103969.0
2.9846884E7,-0.012,0.0676,0.9893,124154.0,94522.0,105233.0
2.9846885E7,-0.012,0.0676,0.9893,124154.0,94522.0,105233.0
2.9846886E7,-0.012,0.0676,0.9893,124154.0,94522.0,105233.0
2.9846887E7,0.0222,0.0884,0.9539,124154.0,94522.0,105233.0
2.9846888E7,0.0222,0.0884,0.9539,124154.0,94522.0,105233.0
2.9846889E7,0.0222,0.0884,0.9539,123459.0,94522.0,105233.0
2.984689E7,0.0103,0.0103,0.9954,123459.0,94701.0,105476.0
2.9846891E7,0.0103,0.0103,0.9954,123459.0,94701.0,105476.0
2.9846892E7,0.0103,0.0103,0.9954,123459.0,94701.0,105476.0
2.9846893E7,0.0273,0.084,0.9597,123459.0,94701.0,105476.0
2.9846894E7,0.0273,0.084,0.9597,123459.0,94701.0,105476.0
2.9846895E7,0.0273,0.084,0.9597,123574.0,94701.0,105476.0
2.9846896E7,0.0251,0.0405,0.9858,123574.0,94548.0,105352.0
2.9846897E7,0.0251,0.0405,0.9858,123574.0,94548.0,105352.0
2.9846898E7,0.0251,0.0405,0.9858,123574.0,94548.0,105352.0
2.9846899E7,0.0288,0.0789,0.97,123574.0,94548.0,105352.0
2.98469E7,0.0288,0.0789,0.97,123574.0,94548.0,105352.0
2.9846901E7,0.0288,0.0789,0.97,124047.0,94548.0,105352.0
2.9846902E7,-0.0217,0.0129,1.0088,124047.0,94939.0,105734.0
2.9846903E7,-0.0217,0.0129,1.0088,124047.0,94939.0,105734.0
2.9846904E7,-0.0217,0.0129,1.0088,124047.0,94939.0,105734.0
2.9846905E7,0.0364,0.0459,0.9851,124047.0,94939.0,105734.0
2.9846906E7,0.0364,0.0459,0.9851,124047.0,94939.0,105734.0
2.9846907E7,0.0364,0.0459,0.9851,123808.0,94939.0,105734.0
2.9846908E7,-0.0217,0.0684,0.9927,123808.0,94384.0,105129.0
2.9846909E7,-0.0217,0.0684,0.9927,123808.0,94384.0,105129.0
2.984691E7,-0.0217,0.0684,0.9927,123808.0,94384.0,105129.0
2.9846911E7,0.0325,0.083,0.9722,123808.0,94384.0,105129.0
2.9846912E7,0.0325,0.083,0.9722,123808.0,94384.0,105129.0
2.9846913E7,0.0325,0.083,0.9722,123686.0,94384.0,105129.0
2.9846914E7,-0.0144,0.0481,0.9932,123686.0,94489.0,105310.0
2.9846915E7,-0.0144,0.0481,0.9932,123686.0,94489.0,105310.0
2.9846916E7,-0.0144,0.0481,0.9932,123686.0,94489.0,105310.0
2.9846917E7,0.0359,0.0657,0.9709,123686.0,94489.0,105310.0
2.9846918E7,0.0359,0.0657,0.9709,123686.0,94489.0,105310.0
2.9846919E7,0.0359,0.0657,0.9709,123789.0,94489.0,105310.0
2.984692E7,-0.0271,0.0544,0.9949,123789.0,94365.0,105181.0
2.9846921E7,-0.0271,0.0544,0.9949,123789.0,94365.0,105181.0
2.9846922E7,-0.0271,0.0544,0.9949,123789.0,94365.0,105181.0
2.9846923E7,0.0361,0.0789,0.9749,123789.0,94365.0,105181.0
2.9846924E7,0.0361,0.0789,0.9749,123789.0,94365.0,105181.0
2.9846925E7,0.0361,0.0789,0.9749,123797.0,94365.0,105181.0
2.9846926E7,-0.0129,0.0505,0.9844,123797.0,94329.0,105154.0
2.9846927E7,-0.0129,0.0505,0.9844,123797.0,94329.0,105154.0
2.9846928E7,-0.0129,0.0505,0.9844,123797.0,94329.0,105154.0
2.9846929E7,0.0469,0.0593,0.9805,123797.0,94329.0,105154.0
2.984693E7,0.0469,0.0593,0.9805,123797.0,94329.0,105154.0
2.9846931E7,0.0469,0.0593,0.9805,123558.0,94329.0,105154.0
2.9846932E7,-0.0308,0.0476,0.9905,123558.0,94065.0,104858.0
2.9846933E7,-0.0308,0.0476,0.9905,123558.0,94065.0,104858.0
2.9846934E7,-0.0308,0.0476,0.9905,123558.0,94065.0,104858.0
2.9846935E7,0.0266,0.0806,0.9717,123558.0,94065.0,104858.0
2.9846936E7,0.0266,0.0806,0.9717,123558.0,94065.0,104858.0
2.9846937E7,0.0266,0.0806,0.9717,123867.0,94065.0,104858.0
2.9846938E7,-0.0217,0.0515,0.9932,123867.0,94387.0,105295.0
2.9846939E7,-0.0217,0.0515,0.9932,123867.0,94387.0,105295.0
2.984694E7,-0.0217,0.0515,0.9932,123867.0,94387.0,105295.0
2.9846941E7,0.0334,0.0632,0.9766,123867.0,94387.0,105295.0
2.9846942E7,0.0334,0.0632,0.9766,123867.0,94387.0,105295.0
2.9846943E7,0.0334,0.0632,0.9766,123779.0,94387.0,105295.0
2.9846944E7,-0.0234,0.0374,0.9949,123779.0,93997.0,104754.0
2.9846945E7,-0.0234,0.0374,0.9949,123779.0,93997.0,104754.0
2.9846946E7,-0.0234,0.0374,0.9949,123779.0,93997.0,104754.0
2.9846947E7,0.0415,0.085,0.9651,123779.0,93997.0,104754.0
2.9846948E7,0.0415,0.085,0.9651,123779.0,93997.0,104754.0
2.9846949E7,0.0415,0.085,0.9651,123473.0,93997.0,104754.0
2.984695E7,-0.0181,0.072,0.9807,123473.0,93958.0,104869.0
2.9846951E7,-0.0181,0.072,0.9807,123473.0,93958.0,104869.0
2.9846952E7,-0.0181,0.072,0.9807,123473.0,93958.0,104869.0
2.9846953E7,0.0339,0.0605,0.9856,123473.0,93958.0,104869.0
2.9846954E7,0.0339,0.0605,0.9856,123473.0,93958.0,104869.0
2.9846955E7,0.0339,0.0605,0.9856,123741.0,93958.0,104869.0
2.9846956E7,-0.0073,0.0378,0.9988,123741.0,94112.0,104985.0
2.9846957E7,-0.0073,0.0378,0.9988,123741.0,94112.0,104985.0
2.9846958E7,-0.0073,0.0378,0.9988,123741.0,94112.0,104985.0
2.9846959E7,0.0369,0.0745,0.969,123741.0,94112.0,104985.0
2.984696E7,0.0369,0.0745,0.969,123741.0,94112.0,104985.0
2.9846961E7,0.0369,0.0745,0.969,123738.0,94112.0,104985.0
2.9846962E7,-0.0295,0.0662,0.9946,123738.0,93983.0,104855.0
2.9846963E7,-0.0295,0.0662,0.9946,123738.0,93983.0,104855.0
2.9846964E7,-0.0295,0.0662,0.9946,123738.0,93983.0,104855.0
2.9846965E7,0.0205,0.0574,0.9922,123738.0,93983.0,104855.0
2.9846966E7,0.0205,0.0574,0.9922,123738.0,93983.0,104855.0
2.9846967E7,0.0205,0.0574,0.9922,123767.0,93983.0,104855.0
2.9846968E7,-0.0078,0.043,0.9863,123767.0,93990.0,104880.0
2.9846969E7,-0.0078,0.043,0.9863,123767.0,93990.0,104880.0
2.984697E7,-0.0078,0.043,0.9863,123767.0,93990.0,104880.0
2.9846971E7,0.0391,0.0603,0.9688,123767.0,93990.0,104880.0
2.9846972E7,0.0391,0.0603,0.9688,123767.0,93990.0,104880.0
2.9846973E7,0.0391,0.0603,0.9688,123512.0,93990.0,104880.0
2.9846974E7,-0.0298,0.0706,0.9819,123512.0,93663.0,104534.0
2.9846975E7,-0.0298,0.0706,0.9819,123512.0,93663.0,104534.0
2.9846976E7,-0.0298,0.0706,0.9819,123512.0,93663.0,104534.0
2.9846977E7,0.0259,0.0894,0.967,123512.0,93663.0,104534.0
