Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
2.7824233E7,0.0178,0.0525,0.9814,122227.0,116866.0,120199.0
2.7824234E7,0.0178,0.0525,0.9814,122227.0,116866.0,120199.0
2.7824235E7,0.0178,0.0525,0.9814,122261.0,116866.0,120199.0
2.7824236E7,0.009,0.0537,0.9836,122261.0,116866.0,120199.0
2.7824237E7,0.009,0.0537,0.9836,122261.0,116866.0,120199.0
2.7824238E7,0.009,0.0537,0.9836,122261.0,116866.0,120199.0
2.7824239E7,0.0088,0.0574,0.99,122261.0,116915.0,120249.0
2.782424E7,0.0088,0.0574,0.99,122261.0,116915.0,120249.0
2.7824241E7,0.0088,0.0574,0.99,122323.0,116915.0,120249.0
2.7824242E7,0.0142,0.0532,0.9854,122323.0,116915.0,120249.0
2.7824243E7,0.0142,0.0532,0.9854,122323.0,116915.0,120249.0
2.7824244E7,0.0142,0.0532,0.9854,122323.0,116915.0,120249.0
2.7824245E7,0.0161,0.0547,0.9829,122323.0,116882.0,120227.0
2.7824246E7,0.0161,0.0547,0.9829,122323.0,116882.0,120227.0
2.7824247E7,0.0161,0.0547,0.9829,122276.0,116882.0,120227.0
2.7824248E7,0.0146,0.0579,0.9822,122276.0,116882.0,120227.0
2.7824249E7,0.0146,0.0579,0.9822,122276.0,116882.0,120227.0
2.782425E7,0.0146,0.0579,0.9822,122276.0,116882.0,120227.0
2.7824251E7,0.0115,0.0647,0.9805,122276.0,116840.0,120168.0
2.7824252E7,0.0115,0.0647,0.9805,122276.0,116840.0,120168.0
2.7824253E7,0.0115,0.0647,0.9805,122196.0,116840.0,120168.0
2.7824254E7,0.0146,0.0583,0.9792,122196.0,116840.0,120168.0
2.7824255E7,0.0146,0.0583,0.9792,122196.0,116840.0,120168.0
2.7824256E7,0.0146,0.0583,0.9792,122196.0,116840.0,120168.0
2.7824257E7,0.0195,0.0562,0.9863,122196.0,116852.0,120178.0
2.7824258E7,0.0195,0.0562,0.9863,122196.0,116852.0,120178.0
2.7824259E7,0.0195,0.0562,0.9863,122280.0,116852.0,120178.0
2.782426E7,0.0154,0.0559,0.9868,122280.0,116852.0,120178.0
2.7824261E7,0.0154,0.0559,0.9868,122280.0,116852.0,120178.0
2.7824262E7,0.0154,0.0559,0.9868,122280.0,116852.0,120178.0
2.7824263E7,0.0164,0.0566,0.9873,122280.0,116917.0,120249.0
2.7824264E7,0.0164,0.0566,0.9873,122280.0,116917.0,120249.0
2.7824265E7,0.0164,0.0566,0.9873,122262.0,116917.0,120249.0
