Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
2.7386686E7,-0.0042,0.0469,1.0002,116508.0,113043.0,115292.0
2.7386687E7,-0.0042,0.0469,1.0002,116508.0,113043.0,115292.0
2.7386688E7,-0.0042,0.0469,1.0002,116508.0,113043.0,115292.0
2.7386689E7,0.0208,0.0601,0.9766,116508.0,112864.0,115057.0
2.738669E7,0.0208,0.0601,0.9766,116508.0,112864.0,115057.0
2.7386691E7,0.0208,0.0601,0.9766,116327.0,112864.0,115057.0
2.7386692E7,0.0259,0.0732,0.9763,116327.0,112864.0,115057.0
2.7386693E7,0.0259,0.0732,0.9763,116327.0,112864.0,115057.0
2.7386694E7,0.0259,0.0732,0.9763,116327.0,112864.0,115057.0
2.7386695E7,0.0044,0.0503,1.0037,116327.0,113125.0,115252.0
2.7386696E7,0.0044,0.0503,1.0037,116327.0,113125.0,115252.0
2.7386697E7,0.0044,0.0503,1.0037,116405.0,113125.0,115252.0
2.7386698E7,0.0181,0.0564,0.9832,116405.0,113125.0,115252.0
2.7386699E7,0.0181,0.0564,0.9832,116405.0,113125.0,115252.0
2.73867E7,0.0181,0.0564,0.9832,116405.0,113125.0,115252.0
2.7386701E7,0.0308,0.0691,0.9609,116405.0,112933.0,115197.0
2.7386702E7,0.0308,0.0691,0.9609,116405.0,112933.0,115197.0
2.7386703E7,0.0308,0.0691,0.9609,116496.0,112933.0,115197.0
2.7386704E7,0.0115,0.0503,0.999,116496.0,112933.0,115197.0
2.7386705E7,0.0115,0.0503,0.999,116496.0,112933.0,115197.0
2.7386706E7,0.0115,0.0503,0.999,116496.0,112933.0,115197.0
2.7386707E7,0.0171,0.0474,0.9844,116496.0,112988.0,115105.0
2.7386708E7,0.0171,0.0474,0.9844,116496.0,112988.0,115105.0
2.7386709E7,0.0171,0.0474,0.9844,116279.0,112988.0,115105.0
2.738671E7,0.0276,0.062,0.9666,116279.0,112988.0,115105.0
2.7386711E7,0.0276,0.062,0.9666,116279.0,112988.0,115105.0
2.7386712E7,0.0276,0.062,0.9666,116279.0,112988.0,115105.0
2.7386713E7,0.0166,0.0581,1.0027,116279.0,113042.0,115249.0
2.7386714E7,0.0166,0.0581,1.0027,116279.0,113042.0,115249.0
2.7386715E7,0.0166,0.0581,1.0027,116430.0,113042.0,115249.0
2.7386716E7,-7.0E-4,0.0496,0.99,116430.0,113042.0,115249.0
2.7386717E7,-7.0E-4,0.0496,0.99,116430.0,113042.0,115249.0
2.7386718E7,-7.0E-4,0.0496,0.99,116430.0,113042.0,115249.0
2.7386719E7,0.0254,0.0632,0.9602,116430.0,112861.0,115115.0
2.738672E7,0.0254,0.0632,0.9602,116430.0,112861.0,115115.0
2.7386721E7,0.0254,0.0632,0.9602,116369.0,112861.0,115115.0
2.7386722E7,0.0193,0.064,0.9873,116369.0,112861.0,115115.0
2.7386723E7,0.0193,0.064,0.9873,116369.0,112861.0,115115.0
2.7386724E7,0.0193,0.064,0.9873,116369.0,112861.0,115115.0
2.7386725E7,5.0E-4,0.0537,0.9924,116369.0,113045.0,115178.0
2.7386726E7,5.0E-4,0.0537,0.9924,116369.0,113045.0,115178.0
2.7386727E7,5.0E-4,0.0537,0.9924,116376.0,113045.0,115178.0
