Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
3.6658094E7,0.0295,0.0229,1.0002,128226.0,116133.0,121764.0
3.6658095E7,0.0295,0.0229,1.0002,128856.0,116133.0,121764.0
3.6658096E7,-0.0303,0.0959,0.9817,128856.0,116556.0,122443.0
3.6658097E7,-0.0303,0.0959,0.9817,128856.0,116556.0,122443.0
3.6658098E7,-0.0303,0.0959,0.9817,128856.0,116556.0,122443.0
3.6658099E7,0.0723,0.0706,0.9609,128856.0,116556.0,122443.0
3.66581E7,0.0723,0.0706,0.9609,128856.0,116556.0,122443.0
3.6658101E7,0.0723,0.0706,0.9609,128379.0,116556.0,122443.0
3.6658102E7,-0.0051,0.0527,0.9976,128379.0,116122.0,121795.0
3.6658103E7,-0.0051,0.0527,0.9976,128379.0,116122.0,121795.0
3.6658104E7,-0.0051,0.0527,0.9976,128379.0,116122.0,121795.0
3.6658105E7,0.0352,0.0364,0.9993,128379.0,116122.0,121795.0
3.6658106E7,0.0352,0.0364,0.9993,128379.0,116122.0,121795.0
3.6658107E7,0.0352,0.0364,0.9993,128741.0,116122.0,121795.0
3.6658108E7,-0.0166,0.1089,0.9656,128741.0,116330.0,122290.0
3.6658109E7,-0.0166,0.1089,0.9656,128741.0,116330.0,122290.0
3.665811E7,-0.0166,0.1089,0.9656,128741.0,116330.0,122290.0
3.6658111E7,0.0559,0.0601,0.9702,128741.0,116330.0,122290.0
3.6658112E7,0.0559,0.0601,0.9702,128741.0,116330.0,122290.0
3.6658113E7,0.0559,0.0601,0.9702,128511.0,116330.0,122290.0
3.6658114E7,-0.0225,0.0513,1.0005,128511.0,116097.0,121811.0
3.6658115E7,-0.0225,0.0513,1.0005,128511.0,116097.0,121811.0
3.6658116E7,-0.0225,0.0513,1.0005,128511.0,116097.0,121811.0
3.6658117E7,0.0486,0.0337,0.9917,128511.0,116097.0,121811.0
3.6658118E7,0.0486,0.0337,0.9917,128511.0,116097.0,121811.0
3.6658119E7,0.0486,0.0337,0.9917,128764.0,116097.0,121811.0
3.665812E7,-0.0081,0.0979,0.9709,128764.0,116212.0,122223.0
3.6658121E7,-0.0081,0.0979,0.9709,128764.0,116212.0,122223.0
3.6658122E7,-0.0081,0.0979,0.9709,128764.0,116212.0,122223.0
