Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
3.4349251E7,0.0522,0.0532,0.9792,125390.0,119447.0,122911.0
3.4349252E7,0.0522,0.0532,0.9792,125390.0,119447.0,122911.0
3.4349253E7,0.0522,0.0532,0.9792,125514.0,119447.0,122911.0
3.4349254E7,-0.0068,-0.0474,1.0479,125514.0,119429.0,122911.0
3.4349255E7,-0.0068,-0.0474,1.0479,125514.0,119429.0,122911.0
3.4349256E7,-0.0068,-0.0474,1.0479,125514.0,119429.0,122911.0
3.4349257E7,-0.0483,0.0613,0.9922,125514.0,119429.0,123222.0
3.4349258E7,-0.0483,0.0613,0.9922,125514.0,119429.0,123222.0
3.4349259E7,-0.0483,0.0613,0.9922,125515.0,119429.0,123222.0
3.434926E7,0.0688,0.1467,0.9163,125515.0,119538.0,123222.0
3.4349261E7,0.0688,0.1467,0.9163,125515.0,119538.0,123222.0
3.4349262E7,0.0688,0.1467,0.9163,125515.0,119538.0,123222.0
3.4349263E7,0.0413,0.0591,0.9717,125515.0,119538.0,122954.0
3.4349264E7,0.0413,0.0591,0.9717,125515.0,119538.0,122954.0
3.4349265E7,0.0413,0.0591,0.9717,125436.0,119538.0,122954.0
3.4349266E7,0.0107,-0.0425,1.0542,125436.0,119346.0,122954.0
3.4349267E7,0.0107,-0.0425,1.0542,125436.0,119346.0,122954.0
3.4349268E7,0.0107,-0.0425,1.0542,125436.0,119346.0,122954.0
3.4349269E7,-0.0481,0.0554,0.9902,125436.0,119346.0,123154.0
3.434927E7,-0.0481,0.0554,0.9902,125436.0,119346.0,123154.0
3.4349271E7,-0.0481,0.0554,0.9902,125617.0,119346.0,123154.0
3.4349272E7,0.0635,0.1331,0.9277,125617.0,119623.0,123154.0
3.4349273E7,0.0635,0.1331,0.9277,125617.0,119623.0,123154.0
3.4349274E7,0.0635,0.1331,0.9277,125617.0,119623.0,123154.0
3.4349275E7,0.0269,0.0645,0.9683,125617.0,119623.0,123031.0
3.4349276E7,0.0269,0.0645,0.9683,125617.0,119623.0,123031.0
3.4349277E7,0.0269,0.0645,0.9683,125259.0,119623.0,123031.0
3.4349278E7,0.0168,-0.02,1.0366,125259.0,119228.0,123031.0
3.4349279E7,0.0168,-0.02,1.0366,125259.0,119228.0,123031.0
3.434928E7,0.0168,-0.02,1.0366,125259.0,119228.0,123031.0
3.4349281E7,-0.0388,0.0464,1.0002,125259.0,119228.0,122987.0
3.4349282E7,-0.0388,0.0464,1.0002,125259.0,119228.0,122987.0
3.4349283E7,-0.0388,0.0464,1.0002,125771.0,119228.0,122987.0
3.4349284E7,0.0574,0.1274,0.9321,125771.0,119717.0,122987.0
3.4349285E7,0.0574,0.1274,0.9321,125771.0,119717.0,122987.0
3.4349286E7,0.0574,0.1274,0.9321,125771.0,119717.0,122987.0
3.4349287E7,0.0491,0.0591,0.9707,125771.0,119717.0,123203.0
3.4349288E7,0.0491,0.0591,0.9707,125771.0,119717.0,123203.0
3.4349289E7,0.0491,0.0591,0.9707,125230.0,119717.0,123203.0
3.434929E7,0.0022,-0.0115,1.032,125230.0,119232.0,123203.0
3.4349291E7,0.0022,-0.0115,1.032,125230.0,119232.0,123203.0
3.4349292E7,0.0022,-0.0115,1.032,125230.0,119232.0,123203.0
3.4349293E7,-0.0457,0.0537,1.0051,125230.0,119232.0,122900.0
3.4349294E7,-0.0457,0.0537,1.0051,125230.0,119232.0,122900.0
3.4349295E7,-0.0457,0.0537,1.0051,125741.0,119232.0,122900.0
3.4349296E7,0.0679,0.1389,0.9258,125741.0,119645.0,122900.0
3.4349297E7,0.0679,0.1389,0.9258,125741.0,119645.0,122900.0
3.4349298E7,0.0679,0.1389,0.9258,125741.0,119645.0,122900.0
3.4349299E7,0.0549,0.0562,0.9678,125741.0,119645.0,123239.0
3.43493E7,0.0549,0.0562,0.9678,125741.0,119645.0,123239.0
3.4349301E7,0.0549,0.0562,0.9678,125257.0,119645.0,123239.0
3.4349302E7,-0.0134,-0.0356,1.0469,125257.0,119252.0,123239.0
3.4349303E7,-0.0134,-0.0356,1.0469,125257.0,119252.0,123239.0
3.4349304E7,-0.0134,-0.0356,1.0469,125257.0,119252.0,123239.0
3.4349305E7,-0.0469,0.064,0.9954,125257.0,119252.0,122854.0
3.4349306E7,-0.0469,0.064,0.9954,125257.0,119252.0,122854.0
3.4349307E7,-0.0469,0.064,0.9954,125708.0,119252.0,122854.0
3.4349308E7,0.0828,0.1533,0.9138,125708.0,119584.0,122854.0
3.4349309E7,0.0828,0.1533,0.9138,125708.0,119584.0,122854.0
3.434931E7,0.0828,0.1533,0.9138,125708.0,119584.0,122854.0
3.4349311E7,0.0435,0.0488,0.9731,125708.0,119584.0,123251.0
3.4349312E7,0.0435,0.0488,0.9731,125708.0,119584.0,123251.0
