Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
3.4549271E7,0.0266,0.0386,0.9929,127844.0,114610.0,120711.0
3.4549272E7,0.0266,0.0386,0.9929,127844.0,114610.0,120711.0
3.4549273E7,0.0095,0.0718,0.9873,127844.0,114881.0,121183.0
3.4549274E7,0.0095,0.0718,0.9873,127844.0,114881.0,121183.0
3.4549275E7,0.0095,0.0718,0.9873,127567.0,114881.0,121183.0
3.4549276E7,0.042,0.0483,0.9749,127567.0,114881.0,121183.0
3.4549277E7,0.042,0.0483,0.9749,127567.0,114881.0,121183.0
3.4549278E7,0.042,0.0483,0.9749,127567.0,114881.0,121183.0
3.4549279E7,-0.0012,0.0818,0.9695,127567.0,114579.0,120629.0
3.454928E7,-0.0012,0.0818,0.9695,127567.0,114579.0,120629.0
3.4549281E7,-0.0012,0.0818,0.9695,127927.0,114579.0,120629.0
3.4549282E7,0.0269,0.0356,1.0017,127927.0,114579.0,120629.0
3.4549283E7,0.0269,0.0356,1.0017,127927.0,114579.0,120629.0
3.4549284E7,0.0269,0.0356,1.0017,127927.0,114579.0,120629.0
3.4549285E7,-0.0029,0.0684,0.9792,127927.0,114796.0,121158.0
3.4549286E7,-0.0029,0.0684,0.9792,127927.0,114796.0,121158.0
3.4549287E7,-0.0029,0.0684,0.9792,127635.0,114796.0,121158.0
3.4549288E7,0.0415,0.0486,0.9827,127635.0,114796.0,121158.0
3.4549289E7,0.0415,0.0486,0.9827,127635.0,114796.0,121158.0
3.454929E7,0.0415,0.0486,0.9827,127635.0,114796.0,121158.0
3.4549291E7,-0.0127,0.0781,0.9797,127635.0,114440.0,120593.0
3.4549292E7,-0.0127,0.0781,0.9797,127635.0,114440.0,120593.0
3.4549293E7,-0.0127,0.0781,0.9797,127888.0,114440.0,120593.0
3.4549294E7,0.0295,0.0364,0.9939,127888.0,114440.0,120593.0
3.4549295E7,0.0295,0.0364,0.9939,127888.0,114440.0,120593.0
3.4549296E7,0.0295,0.0364,0.9939,127888.0,114440.0,120593.0
3.4549297E7,0.0034,0.071,0.9758,127888.0,114686.0,121009.0
3.4549298E7,0.0034,0.071,0.9758,127888.0,114686.0,121009.0
3.4549299E7,0.0034,0.071,0.9758,127666.0,114686.0,121009.0
3.45493E7,0.0281,0.0447,0.9919,127666.0,114686.0,121009.0
3.4549301E7,0.0281,0.0447,0.9919,127666.0,114686.0,121009.0
3.4549302E7,0.0281,0.0447,0.9919,127666.0,114686.0,121009.0
3.4549303E7,-0.0093,0.084,0.9766,127666.0,114387.0,120524.0
3.4549304E7,-0.0093,0.084,0.9766,127666.0,114387.0,120524.0
3.4549305E7,-0.0093,0.084,0.9766,128092.0,114387.0,120524.0
3.4549306E7,0.0288,0.0315,0.9919,128092.0,114387.0,120524.0
3.4549307E7,0.0288,0.0315,0.9919,128092.0,114387.0,120524.0
3.4549308E7,0.0288,0.0315,0.9919,128092.0,114387.0,120524.0
3.4549309E7,0.0,0.0698,0.9824,128092.0,114605.0,121094.0
3.454931E7,0.0,0.0698,0.9824,128092.0,114605.0,121094.0
3.4549311E7,0.0,0.0698,0.9824,127594.0,114605.0,121094.0
3.4549312E7,0.0366,0.041,0.9941,127594.0,114605.0,121094.0
3.4549313E7,0.0366,0.041,0.9941,127594.0,114605.0,121094.0
3.4549314E7,0.0366,0.041,0.9941,127594.0,114605.0,121094.0
3.4549315E7,0.0054,0.0898,0.9631,127594.0,114207.0,120339.0
3.4549316E7,0.0054,0.0898,0.9631,127594.0,114207.0,120339.0
3.4549317E7,0.0054,0.0898,0.9631,128105.0,114207.0,120339.0
3.4549318E7,0.0293,0.0273,0.9983,128105.0,114207.0,120339.0
3.4549319E7,0.0293,0.0273,0.9983,128105.0,114207.0,120339.0
3.454932E7,0.0293,0.0273,0.9983,128105.0,114207.0,120339.0
3.4549321E7,-0.0044,0.0718,0.9817,128105.0,114437.0,120984.0
3.4549322E7,-0.0044,0.0718,0.9817,128105.0,114437.0,120984.0
3.4549323E7,-0.0044,0.0718,0.9817,127629.0,114437.0,120984.0
3.4549324E7,0.0361,0.0308,0.9934,127629.0,114437.0,120984.0
3.4549325E7,0.0361,0.0308,0.9934,127629.0,114437.0,120984.0
3.4549326E7,0.0361,0.0308,0.9934,127629.0,114437.0,120984.0
3.4549327E7,0.002,0.0898,0.969,127629.0,114244.0,120411.0
3.4549328E7,0.002,0.0898,0.969,127629.0,114244.0,120411.0
3.4549329E7,0.002,0.0898,0.969,128188.0,114244.0,120411.0
3.454933E7,0.0217,0.0232,1.0056,128188.0,114244.0,120411.0
3.4549331E7,0.0217,0.0232,1.0056,128188.0,114244.0,120411.0
3.4549332E7,0.0217,0.0232,1.0056,128188.0,114244.0,120411.0
3.4549333E7,0.0078,0.0723,0.9712,128188.0,114240.0,120822.0
3.4549334E7,0.0078,0.0723,0.9712,128188.0,114240.0,120822.0
