Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
3.7234312E7,0.0684,0.0894,0.9585,128489.0,112190.0,118175.0
3.7234313E7,0.0684,0.0894,0.9585,128489.0,112190.0,118175.0
3.7234314E7,0.0684,0.0894,0.9585,128489.0,112190.0,118175.0
3.7234315E7,-0.0557,0.03,1.0049,128489.0,112245.0,118296.0
3.7234316E7,-0.0557,0.03,1.0049,128489.0,112245.0,118296.0
3.7234317E7,-0.0557,0.03,1.0049,128243.0,112245.0,118296.0
3.7234318E7,0.0625,0.1035,0.9573,128243.0,112245.0,118296.0
3.7234319E7,0.0625,0.1035,0.9573,128243.0,112245.0,118296.0
3.723432E7,0.0625,0.1035,0.9573,128243.0,112245.0,118296.0
3.7234321E7,-0.0386,0.0193,1.002,128243.0,111957.0,118000.0
3.7234322E7,-0.0386,0.0193,1.002,128243.0,111957.0,118000.0
3.7234323E7,-0.0386,0.0193,1.002,128549.0,111957.0,118000.0
3.7234324E7,0.0955,0.0859,0.9636,128549.0,111957.0,118000.0
3.7234325E7,0.0955,0.0859,0.9636,128549.0,111957.0,118000.0
3.7234326E7,0.0955,0.0859,0.9636,128549.0,111957.0,118000.0
3.7234327E7,-0.0439,0.0242,1.0085,128549.0,112190.0,118293.0
3.7234328E7,-0.0439,0.0242,1.0085,128549.0,112190.0,118293.0
3.7234329E7,-0.0439,0.0242,1.0085,128284.0,112190.0,118293.0
3.723433E7,0.0474,0.0935,0.9653,128284.0,112190.0,118293.0
3.7234331E7,0.0474,0.0935,0.9653,128284.0,112190.0,118293.0
3.7234332E7,0.0474,0.0935,0.9653,128284.0,112190.0,118293.0
3.7234333E7,-0.0278,0.0271,0.9963,128284.0,111884.0,117998.0
3.7234334E7,-0.0278,0.0271,0.9963,128284.0,111884.0,117998.0
3.7234335E7,-0.0278,0.0271,0.9963,128495.0,111884.0,117998.0
3.7234336E7,0.0728,0.0898,0.9551,128495.0,111884.0,117998.0
3.7234337E7,0.0728,0.0898,0.9551,128495.0,111884.0,117998.0
3.7234338E7,0.0728,0.0898,0.9551,128495.0,111884.0,117998.0
3.7234339E7,-0.0427,0.0251,1.0056,128495.0,112089.0,118238.0
3.723434E7,-0.0427,0.0251,1.0056,128495.0,112089.0,118238.0
3.7234341E7,-0.0427,0.0251,1.0056,128391.0,112089.0,118238.0
3.7234342E7,0.0571,0.0823,0.9648,128391.0,112089.0,118238.0
3.7234343E7,0.0571,0.0823,0.9648,128391.0,112089.0,118238.0
3.7234344E7,0.0571,0.0823,0.9648,128391.0,112089.0,118238.0
3.7234345E7,-0.0481,0.032,1.0002,128391.0,111860.0,118030.0
3.7234346E7,-0.0481,0.032,1.0002,128391.0,111860.0,118030.0
3.7234347E7,-0.0481,0.032,1.0002,128463.0,111860.0,118030.0
3.7234348E7,0.0774,0.0874,0.9639,128463.0,111860.0,118030.0
3.7234349E7,0.0774,0.0874,0.9639,128463.0,111860.0,118030.0
3.723435E7,0.0774,0.0874,0.9639,128463.0,111860.0,118030.0
3.7234351E7,-0.0454,0.0291,0.9988,128463.0,111848.0,118049.0
