Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
3.5433114E7,0.093,0.062,0.969,128490.0,111548.0,119206.0
3.5433115E7,-0.051,0.0505,0.9954,128490.0,112089.0,119206.0
3.5433116E7,-0.051,0.0505,0.9954,128490.0,112089.0,119206.0
3.5433117E7,-0.051,0.0505,0.9954,127887.0,112089.0,119206.0
3.5433118E7,0.0752,0.074,0.969,127887.0,112089.0,118696.0
3.5433119E7,0.0752,0.074,0.969,127887.0,112089.0,118696.0
3.543312E7,0.0752,0.074,0.969,127887.0,112089.0,118696.0
3.5433121E7,-0.0564,0.0479,0.9944,127887.0,111536.0,118696.0
3.5433122E7,-0.0564,0.0479,0.9944,127887.0,111536.0,118696.0
3.5433123E7,-0.0564,0.0479,0.9944,128512.0,111536.0,118696.0
3.5433124E7,0.1021,0.0657,0.9761,128512.0,111536.0,119192.0
3.5433125E7,0.1021,0.0657,0.9761,128512.0,111536.0,119192.0
3.5433126E7,0.1021,0.0657,0.9761,128512.0,111536.0,119192.0
3.5433127E7,-0.0664,0.0308,1.0046,128512.0,111961.0,119192.0
3.5433128E7,-0.0664,0.0308,1.0046,128512.0,111961.0,119192.0
3.5433129E7,-0.0664,0.0308,1.0046,127899.0,111961.0,119192.0
3.543313E7,0.0959,0.0835,0.9617,127899.0,111961.0,118586.0
3.5433131E7,0.0959,0.0835,0.9617,127899.0,111961.0,118586.0
3.5433132E7,0.0959,0.0835,0.9617,127899.0,111961.0,118586.0
3.5433133E7,-0.0664,0.0564,0.9854,127899.0,111455.0,118586.0
3.5433134E7,-0.0664,0.0564,0.9854,127899.0,111455.0,118586.0
3.5433135E7,-0.0664,0.0564,0.9854,128588.0,111455.0,118586.0
3.5433136E7,0.0999,0.0632,0.9785,128588.0,111455.0,119199.0
3.5433137E7,0.0999,0.0632,0.9785,128588.0,111455.0,119199.0
3.5433138E7,0.0999,0.0632,0.9785,128588.0,111455.0,119199.0
3.5433139E7,-0.073,0.0293,1.0039,128588.0,111892.0,119199.0
3.543314E7,-0.073,0.0293,1.0039,128588.0,111892.0,119199.0
3.5433141E7,-0.073,0.0293,1.0039,127885.0,111892.0,119199.0
3.5433142E7,0.0938,0.0808,0.9509,127885.0,111892.0,118495.0
3.5433143E7,0.0938,0.0808,0.9509,127885.0,111892.0,118495.0
3.5433144E7,0.0938,0.0808,0.9509,127885.0,111892.0,118495.0
3.5433145E7,-0.0637,0.063,0.9858,127885.0,111303.0,118495.0
3.5433146E7,-0.0637,0.063,0.9858,127885.0,111303.0,118495.0
3.5433147E7,-0.0637,0.063,0.9858,128476.0,111303.0,118495.0
3.5433148E7,0.105,0.0605,0.9727,128476.0,111303.0,118982.0
3.5433149E7,0.105,0.0605,0.9727,128476.0,111303.0,118982.0
3.543315E7,0.105,0.0605,0.9727,128476.0,111303.0,118982.0
3.5433151E7,-0.0781,0.0291,1.0037,128476.0,111691.0,118982.0
3.5433152E7,-0.0781,0.0291,1.0037,128476.0,111691.0,118982.0
3.5433153E7,-0.0781,0.0291,1.0037,128185.0,111691.0,118982.0
3.5433154E7,0.1023,0.0698,0.9656,128185.0,111691.0,118648.0
3.5433155E7,0.1023,0.0698,0.9656,128185.0,111691.0,118648.0
